"","Instrument_name","Keywords","Keyword_count","Keyword_respondents","Categories","Priority_scores","Times_mentioned","Respondents","Cohort"
"1","1_Socio-demographics","age,demographics,education,ethnicity,family composition,income,living conditions,religiosity,sci-fi-economic status,ses,sex,socio-demographics,work","1,1,1,1,1,1,1,1,1,1,1,1,1",1,"Demographics,NA","1,0","1,210",1,"TRAILS"
"2","10_Cannabis Use Problems Identification Test (CUPIT)","","",0,"NA","NaN","210",0,"TRAILS"
"3","100_Career and family planning","family,planning,work","1,1,1",1,"Social and emotional development,Personality,Demographics,NA","0.5,0.33,0.17,0","1,1,1,210",1,"TRAILS"
"4","101_Short trips","","",1,"leisure time activities,NA","1,0","1,209",1,"TRAILS"
"5","102_Internet use","social media,internet,internet use,online,virtual","2,1,1,1,1",2,"daily activities,internet use,Lifestyle,NA","0.5,0.33,0.17,0","1,1,1,208",2,"TRAILS"
"6","103_Social media use","","",1,"social interaction,time spending,Lifestyle,NA","0.5,0.33,0.17,0","1,1,1,208",1,"TRAILS"
"7","104_Gaming","gaming,addiction,leisure","2,1,1",2,"Lifestyle,behavior,Mental health,activity,NA","0.42,0.25,0.17,0.17,0","2,1,1,1,208",2,"TRAILS"
"8","105_Social Production Functions Questionnaire","","",0,"NA","NaN","210",0,"TRAILS"
"9","106_Social support","family support,friends,neighbourhood support,social support,support network","1,1,1,1,1",1,"Social cognition and behavior,social functioning,social network,Social and emotional development,NA","0.5,0.2,0.2,0.1,0","1,1,1,1,208",2,"TRAILS"
"10","107_Motives for Behaviour Questionnaire","","",0,"NA","NaN","210",0,"TRAILS"
"11","108_Discrimination ","","",1,"social environment,NA","1,0","1,209",1,"TRAILS"
"12","109_Noise disturbance","","",0,"NA","NaN","210",0,"TRAILS"
"13","11_Eating Disorder Diagnostic Scale (EDDS)","anorexia nervosa,binge-eating disorder,bulimia nervosa,eating disorder,eating disorder diagnostic scale,edds","1,1,1,1,1,1",1,"Physical health,Mental health,Social and emotional development,NA","0.4,0.4,0.2,0","1,1,1,210",1,"TRAILS"
"14","110_Financial debts","","",0,"NA","NaN","210",0,"TRAILS"
"15","111_Care responsibilities","","",0,"care responsibilities ,NA","1,0","1,209",1,"TRAILS"
"16","112_Confusion, Hubbub, and Order Scale (CHAOS)","","",0,"NA","NaN","210",0,"TRAILS"
"17","113_Infant/Toddler Home Observation for Measurement of the Environment (IT-HOME)","","",0,"NA","NaN","210",0,"TRAILS"
