"","Instrument_name","Keywords","Keyword_count","Keyword_respondents","Categories","Priority_scores","Times_mentioned","Respondents"
"1","1_ADHD symptoms (SWAN) questionnaire","adhd,attention deficit disorder,behavioral control,developmental psychopathology,hyperactivity,mental health,psychiatric symptoms,psychiatry,psychopathology,questionnaire","2,1,1,1,1,1,1,1,1,1",3,"Mental health,Social and emotional development,developmental disorder,questionnaire,NA","0.67,0.11,0.11,0.11,0","3,1,1,1,73",3
"2","10_Brief Symptom Inventory (BSI)","health,medical,mental health,psychopathology,symptoms,wellbeing","1,1,1,1,1,1",2,"Mental health,Physical health,questionnaire,NA","0.58,0.25,0.17,0","2,1,1,74",2
"3","11_Buccal","biological data,dna,epigenetics,oral mucosa","1,1,1,1",1,"Physiology,NA","1,0","1,75",1
"4","12_Bullying behavior of/towards the child","","",0,"NA","NaN","75",0
"5","13_Child Behavior Checklist (CBCL)","","",0,"NA","NaN","75",0
"6","14_Child Gap Antisaccade","","",0,"NA","NaN","75",0
"7","15_Child Gap Prosaccade","attention,(saccadic) eye movements,attention shifting,behavioral control,eye-tracking,frontal lobe,gap-overlap task,gap task,gaze,posner task,saccade,visual system","2,1,1,1,1,1,1,1,1,1,1,1",2,"Physiology,Cognition,NA","0.5,0.5,0","2,2,75",2
"8","16_Childhood Trauma Questionnaire (CTQ)","abuse,child,childhood,emotions,neglect,questionnaire,self-report,trauma,traumatic event,traumatic experience","1,1,1,1,1,1,1,1,1,1",1,"Life history,Mental health,Physical health,NA","0.5,0.33,0.17,0","1,1,1,75",1
"9","17_Child's report on parental behavior inventory (CRPBI)","","",0,"NA","NaN","75",0
"10","18_Communicative Development Inventories (N-CDI) - Dutch","","",1,"language development,Cognition,NA","0.67,0.33,0","1,1,74",1
"11","19_Competentie belevingsschaal - Adolescent (CBSA)","behavioral problems,self-identity,self-perception,social competence,adolescents,competencies,emotion regulation,emotional problems,questionnaire,self-esteem,self-report,self-worth,skills,social skills","2,2,2,2,1,1,1,1,1,1,1,1,1,1",3,"Social and emotional development,Personality,Social cognition and behavior,Mental health,NA","0.67,0.17,0.11,0.06,0","3,2,1,1,75",3
"12","2_Gender Identity (GI) questionnaire","demographics,gender,gender development,identity","1,1,1,1",2,"Social cognition and behavior,Demographics,gender development,questionnaire,NA","0.5,0.2,0.2,0.1,0","1,1,1,1,73",2
"13","20_Comprehensive Early Childhood Parenting Questionnaire (CECPAQ)","affect,early childhood,parental behavior,parental support,responsiveness","1,1,1,1,1",1,"Parenting,Social and emotional development,Personality,NA","0.5,0.33,0.17,0","1,1,1,75",1
"14","21_Cordblood","biological sample,dna,genetics,physiology","1,1,1,1",1,"Physiology,Physical health,NA","0.67,0.33,0","1,1,75",1
"15","22_Cyberball","empathy,ostracism,prosocial behavior,social competence,social exclusion,social skills","1,1,1,1,1,1",1,"Social cognition and behavior,Personality,Social and emotional development,NA","0.5,0.25,0.25,0","1,1,1,75",1
"16","23_Daily care","","",0,"NA","NaN","75",0
"17","24_Demographics","background,demographics","1,1",1,"Demographics,NA","1,0","1,75",1
"18","25_Diffusion Tensor Imaging (DTI)","imaging,mri,brain,brain anatomy,brain development,brain tissue,diffusion weighted imaging,microstructure,mri scan,neural development,scan","2,2,1,1,1,1,1,1,1,1,1",2,"Physiology,Physical health,brain,brain structure,Mental health,imaging,NA","0.45,0.17,0.15,0.1,0.08,0.05,0","2,1,1,1,1,1,72",2
"19","26_Discount (Delay Gratification)","behavioral control,inhibition,cognitive control,coping,coping behavior,delay gratification,delay of gratification,delayed gratification,effortful control,experiment,gift,marshmallow task,paradigm,patience,pleasant","2,2,1,1,1,1,1,1,1,1,1,1,1,1,1",3,"Cognition,delay of gratification (paradigm),development of behavioral control,coping (behavior),Personality,behavioral control,Social and emotional development,Mental health,NA","0.35,0.17,0.11,0.11,0.08,0.08,0.06,0.04,0","2,1,1,1,1,1,1,1,71",3
"20","27_Early adolescent temperament questionnaire - revised (EATQ-R)","personality,adolescents,coping,emotions,problem behavior,psychopathology,questionnaire,social competence,temperament","2,1,1,1,1,1,1,1,1",2,"Personality,Social and emotional development,Mental health,Social cognition and behavior,coping,temperament,NA","0.42,0.18,0.17,0.13,0.07,0.03,0","2,2,1,1,1,1,73",2
"21","28_Echo/3D Ultrasound","","",0,"NA","NaN","75",0
"22","29_Edinburgh Postnatal Depression Scale (EPDS)","depression,depressive symptoms,parent,parenthood,parents,postnatal,postnatal depression,psychopathology,questionnaire,scale,self-report,symptoms","2,1,1,1,1,1,1,1,1,1,1,1",2,"Mental health,Physical health,Parenting,postnatal,questionnaire,NA","0.53,0.17,0.15,0.1,0.05,0","2,1,1,1,1,73",2
"23","3_Adult Self Report (ASR)","psychopathology,adults,mental health","2,1,1",2,"Mental health,Personality,adulthood,Social and emotional development,questionnaire,NA","0.5,0.17,0.17,0.08,0.08,0","2,1,1,1,1,73",2
"24","30_EEG coherence","brain,eeg,neuroimaging,passive watching","1,1,1,1",1,"Physiology,brain activity,Cognition,Social cognition and behavior,Social and emotional development,NA","0.29,0.29,0.14,0.14,0.14,0","1,1,1,1,1,74",1
"25","31_EEG Face Emotion","brain,eeg,emotion recognition,neuroimaging,social competence,task","1,1,1,1,1,1",1,"Physiology,brain activity,Social and emotional development,Social cognition and behavior,Cognition,NA","0.29,0.29,0.21,0.14,0.07,0","1,1,1,1,1,74",1
"26","32_EEG Face House","face processing,neural processing","1,1",1,"Social cognition and behavior,Physiology,neural processing,experiment,NA","0.38,0.25,0.25,0.12,0","1,1,1,1,73",1
"27","33_Family illness - Medical & Psychiatric","health,psychiatric symptoms,children,family members,first-degree family,illness,medical history,medical symptoms,mental health,parents,physical health,problems,psychiatry,psychopathology,questionnaire,self-report,symptoms","2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",2,"Physical health,Mental health,Physiology,Life history,Demographics,Lifestyle,NA","0.37,0.33,0.1,0.1,0.07,0.03,0","2,2,1,1,1,1,75",2
"28","34_Food Frequency Questionnaire (FFQ) - Pregnancy","eating,food,pregnancy","1,1,1",1,"Lifestyle,NA","1,0","1,75",1
"29","35_Food Frequency Questionnaire (FFQ) - Youth","","",0,"NA","NaN","75",0
"30","36_Functional MRI Inhibition experiment","behavioral control,brain development,cognitive control,effortful control,imaging,inhibition,mri,neural develoment","1,1,1,1,1,1,1,1",1,"Cognition,behavioral control,Physiology,NA","0.4,0.4,0.2,0","1,1,1,74",1
"31","37_General health","","",0,"NA","NaN","75",0
"32","38_Hair","","",0,"Physiology,NA","1,0","1,75",1
"33","39_Hand Game","behavioral control,early childhood,inhibition,self-regulation","2,1,1,1",2,"Cognition,behavioral control,self-regulation,experiment,early childhood,NA","0.5,0.17,0.17,0.11,0.06,0","2,1,1,1,1,71",2
"34","4_Ages and Stages Questionnaire - Social Emotional (ASQ-SE)","childhood,social-emotional development,social and emotional development","1,1,1",2,"Social and emotional development,childhood,questionnaire,NA","0.75,0.17,0.08,0","2,1,1,73",2
"35","40_Infant Behavior Questionnaire Revised (IBQ-R)","infant,temperament,behavioral development,social emotional development","2,2,1,1",2,"Personality,temperament/personality,Social and emotional development,questionnaire,infancy,NA","0.33,0.25,0.17,0.17,0.08,0","1,1,1,1,1,72",2
"36","41_Infant Face Popout","attention,infancy","1,1",1,"Physiology,Cognition,infancy,experiment,NA","0.33,0.33,0.17,0.17,0","1,1,1,1,73",1
"37","42_Infant Pro Gap","","",0,"NA","NaN","75",0
"38","43_Infant Social Gaze","attention,social processing","1,1",1,"Physiology,Social cognition and behavior,attention,experiment,infancy,NA","0.25,0.25,0.25,0.12,0.12,0","1,1,1,1,1,72",1
"39","44_Inhibition experiment (mock scanner)","behavioral control,fmri,frontal lobe,functional mri,inhibition,practice,stop process","1,1,1,1,1,1,1",1,"Cognition,brain functioning,Physiology,NA","0.5,0.33,0.17,0","1,1,1,74",1
"40","45_Interpersonal Reactivity Index (IRI)","","",0,"NA","NaN","75",0
"41","46_Labour and birth","birth,childbirth,pregnancy","1,1,1",1,"Physiology,NA","1,0","1,75",1
