"","Instrument_name","Keywords","Keyword_count","Keyword_respondents","Categories","Priority_scores","Times_mentioned","Respondents"
"1","1_ADHD symptoms (SWAN) questionnaire","adhd,attention deficit disorder,behavioral control,developmental psychopathology,hyperactivity","1,1,1,1,1",1,"Mental health,developmental disorder,NA","0.67,0.33,0","1,1,32",1
"2","10_Brief Symptom Inventory (BSI)","","",0,"NA","NaN","33",0
"3","11_Buccal","","",0,"NA","NaN","33",0
"4","12_Bullying behavior of/towards the child","","",0,"NA","NaN","33",0
"5","13_Child Behavior Checklist (CBCL)","","",0,"NA","NaN","33",0
"6","14_Child Gap Antisaccade","","",0,"NA","NaN","33",0
"7","15_Child Gap Prosaccade","attention,(saccadic) eye movements,attention shifting,behavioral control,eye-tracking,frontal lobe,gap-overlap task,gap task,gaze,posner task,saccade,visual system","2,1,1,1,1,1,1,1,1,1,1,1",2,"Physiology,Cognition,NA","0.5,0.5,0","2,2,33",2
"8","16_Childhood Trauma Questionnaire (CTQ)","","",0,"NA","NaN","33",0
"9","17_Child's report on parental behavior inventory (CRPBI)","","",0,"NA","NaN","33",0
"10","18_Communicative Development Inventories (N-CDI) - Dutch","","",1,"language development,Cognition,NA","0.67,0.33,0","1,1,32",1
"11","19_Competentie belevingsschaal - Adolescent (CBSA)","","",1,"Social and emotional development,NA","1,0","1,33",1
"12","2_Gender Identity (GI) questionnaire","gender,identity","1,1",1,"Social cognition and behavior,NA","1,0","1,33",1
"13","20_Comprehensive Early Childhood Parenting Questionnaire (CECPAQ)","","",0,"NA","NaN","33",0
"14","21_Cordblood","","",0,"NA","NaN","33",0
"15","22_Cyberball","","",0,"NA","NaN","33",0
"16","23_Daily care","","",0,"NA","NaN","33",0
"17","24_Demographics","background,demographics","1,1",1,"Demographics,NA","1,0","1,33",1
"18","25_Diffusion Tensor Imaging (DTI)","","",0,"NA","NaN","33",0
"19","26_Discount (Delay Gratification)","behavioral control,inhibition,marshmallow task","1,1,1",1,"Cognition,development of behavioral control,NA","0.67,0.33,0","1,1,32",1
"20","27_Early adolescent temperament questionnaire - revised (EATQ-R)","personality,problem behavior,psychopathology,social competence","1,1,1,1",1,"Personality,Mental health,Social and emotional development,NA","0.5,0.33,0.17,0","1,1,1,33",1
