"","Instrument_name","Keywords","Keyword_count","Keyword_respondents","Categories","Priority_scores","Times_mentioned","Respondents"
"1","1_Abbreviated Parent Report Children’s Abilities (PARCA) ","","",0,"NA","NaN","183",0
"2","10_Autism-spectrum quotient (AQ-short)","asd,autism,autism quotient,autistic traits,neurodevelopmental disorder","1,1,1,1,1",1,"Mental health,NA","1,0","1,183",1
"3","100_Interpersonal conflict questionnaire","","",0,"NA","NaN","183",0
"4","101_Intima-media thickness","","",0,"NA","NaN","183",0
"5","102_Inventory of Callous-Unemotional Traits","antisocial personality disorder,callous-unemotional,callous traits,conduct disorder,cu traits,lack of empathy,personality","1,1,1,1,1,1,1",2,"Social and emotional development,Personality,Social cognition and behavior,Mental health,NA","0.34,0.24,0.22,0.19,0","2,2,2,2,183",2
"6","103_Kidney development","","",1,"Physiology,Physical health,NA","0.67,0.33,0","1,1,183",1
"7","104_Language","bilingual,language,multilingual","1,1,1",1,"Demographics,Life history,NA","0.67,0.33,0","1,1,183",1
"8","105_Language development survey. LDS","language,speech,language development,vocabulary","2,2,1,1",2,"Cognition,Physical health,NA","0.83,0.17,0","2,1,183",2
"9","106_Leisure time ","physical activities,social behavior,social relationships","1,1,1",1,"Lifestyle,Mental health,Physical health,NA","0.5,0.33,0.17,0","1,1,1,183",1
"10","107_Life event interview","adverse events,environmental exposures,stress","1,1,1",1,"Parenting,Mental health,Life history,Social and emotional development,NA","0.4,0.3,0.2,0.1,0","1,1,1,1,183",1
"11","108_Life events","adverse experiences,early life stress,life events interview,trauma","1,1,1,1",1,"Life history,Lifestyle,NA","0.67,0.33,0","1,1,183",1
"12","109_Lifestyle","alcohol,caffeine,cannabis,coffee,drug,eating,gambling,lifestyle,physical activity","1,1,1,1,1,1,1,1,1",1,"Lifestyle,Physical health,NA","0.67,0.33,0","1,1,183",1
"13","11_Background information of you and your family ","demographics,education level,ethnicity,origin","1,1,1,1",1,"Demographics,NA","1,0","1,183",1
"14","110_Living conditions (GLOBE)","","",0,"NA","NaN","183",0
"15","111_Loneliness scale ","","",0,"NA","NaN","183",0
"16","112_Lung function (through airway resistance)","","",0,"NA","NaN","183",0
