"","Instrument_name","Keywords","Keyword_count","Keyword_respondents","Categories","Priority_scores","Times_mentioned","Respondents"
"1","1_Socio-demographics","","",0,"NA","NaN","33",0
"2","10_Cannabis Use Problems Identification Test (CUPIT)","","",0,"NA","NaN","33",0
"3","100_Career and family planning","family,planning,work","1,1,1",1,"Social and emotional development,Personality,Demographics,NA","0.5,0.33,0.17,0","1,1,1,33",1
"4","101_Short trips","","",0,"NA","NaN","33",0
"5","102_Internet use","","",0,"NA","NaN","33",0
"6","103_Social media use","","",1,"social interaction,time spending,Lifestyle,NA","0.5,0.33,0.17,0","1,1,1,31",1
"7","104_Gaming","addiction,gaming","1,1",1,"Lifestyle,Mental health,NA","0.67,0.33,0","1,1,33",1
"8","105_Social Production Functions Questionnaire","","",0,"NA","NaN","33",0
"9","106_Social support","","",0,"NA","NaN","33",0
"10","107_Motives for Behaviour Questionnaire","","",0,"NA","NaN","33",0
"11","108_Discrimination ","","",1,"social environment,NA","1,0","1,32",1
"12","109_Noise disturbance","","",0,"NA","NaN","33",0
"13","11_Eating Disorder Diagnostic Scale (EDDS)","","",0,"NA","NaN","33",0
"14","110_Financial debts","","",0,"NA","NaN","33",0
"15","111_Care responsibilities","","",0,"NA","NaN","33",0
"16","112_Confusion, Hubbub, and Order Scale (CHAOS)","","",0,"NA","NaN","33",0
"17","113_Infant/Toddler Home Observation for Measurement of the Environment (IT-HOME)","","",0,"NA","NaN","33",0
"18","114_Pregnancy stress","","",0,"NA","NaN","33",0
"19","115_Pregnancy history","perinatal,pregnancy","1,1",1,"Life history,NA","1,0","1,33",1
"20","116_Ages and Stages Questionnaires: Social-Emotional (ASQ:SE)","","",0,"NA","NaN","33",0
"21","117_Sleep and Settle Questionnaire (SSQ)","","",0,"NA","NaN","33",0
"22","118_Developmental milestones","","",0,"NA","NaN","33",0
"23","119_Food Frequency Questionnaire","","",0,"NA","NaN","33",0
"24","12_Community Assessment of Psychic Experiences (CAPE)","","",0,"NA","NaN","33",0
"25","120_Lifestyle","","",0,"NA","NaN","33",0
"26","121_ALSPAC positivity/negativity","","",0,"NA","NaN","33",0
"27","122_Postpartum Bonding Scale","","",0,"parent-child relation,Parenting,NA","0.67,0.33,0","1,1,32",1
"28","123_Parent Behavior Checklist (PBC)","","",0,"NA","NaN","33",0
"29","124_Parental overprotection","","",0,"NA","NaN","33",0
